年份,月份, 行政區 , 遷入人數 , 遷出人數 ,住址變更人數_入,住址變更人數_出,出生人數,死亡人數
110,1,  總計 ,8082,12195,4940,4940,960,1630
110,1,  松山區 ,684,977,353,353,66,118
110,1,  信義區 ,568,1078,297,297,81,142
110,1,  大安區 ,999,1632,498,498,100,199
110,1,  中山區 ,829,1226,349,349,80,121
110,1,  中正區 ,736,840,256,256,60,96
110,1,  大同區 ,462,607,257,257,43,99
110,1,  萬華區 ,480,844,334,334,62,161
110,1,  文山區 ,813,1045,684,684,82,150
110,1,  南港區 ,384,568,215,215,49,75
110,1,  內湖區 ,740,1291,608,608,119,118
110,1,  士林區 ,720,1149,508,508,112,201
110,1,  北投區 ,667,938,581,581,106,150
110,2,  總計 ,7335,11884,4786,4786,1253,1461
110,2,  松山區 ,654,965,368,368,89,93
110,2,  信義區 ,472,953,218,218,104,114
110,2,  大安區 ,958,1660,461,461,130,162
110,2,  中山區 ,705,1150,391,391,108,123
110,2,  中正區 ,635,843,238,238,85,89
110,2,  大同區 ,471,617,289,289,72,84
110,2,  萬華區 ,434,772,308,308,80,151
110,2,  文山區 ,707,995,601,601,102,159
110,2,  南港區 ,331,574,183,183,61,52
110,2,  內湖區 ,729,1178,651,651,186,97
110,2,  士林區 ,606,1186,505,505,140,185
110,2,  北投區 ,633,991,573,573,96,152
110,3,  總計 ,10548,16664,6785,6785,1602,1704
110,3,  松山區 ,829,1403,514,514,93,138
110,3,  信義區 ,714,1613,366,366,144,151
110,3,  大安區 ,1461,1904,630,630,178,208
110,3,  中山區 ,1019,1689,528,528,136,149
110,3,  中正區 ,911,1191,376,376,92,88
110,3,  大同區 ,776,775,421,421,78,108
110,3,  萬華區 ,675,1282,492,492,101,157
110,3,  文山區 ,917,1493,810,810,168,167
110,3,  南港區 ,510,806,212,212,91,87
110,3,  內湖區 ,1045,1597,911,911,196,135
110,3,  士林區 ,830,1578,685,685,178,181
110,3,  北投區 ,861,1333,840,840,147,135
110,4,  總計 ,8908,14549,5540,5540,1419,1432
110,4,  松山區 ,712,1143,424,424,94,97
110,4,  信義區 ,582,1298,338,338,121,118
110,4,  大安區 ,1166,2027,514,514,127,148
110,4,  中山區 ,890,1501,463,463,121,126
110,4,  中正區 ,742,1046,273,273,89,93
110,4,  大同區 ,529,661,269,269,70,65
110,4,  萬華區 ,561,1026,407,407,105,149
110,4,  文山區 ,809,1281,676,676,152,151
110,4,  南港區 ,448,692,220,220,74,75
110,4,  內湖區 ,925,1321,812,812,174,117
110,4,  士林區 ,722,1452,541,541,143,147
110,4,  北投區 ,822,1101,603,603,149,146
110,5,  總計 ,7070,13179,4376,4376,1290,1483
110,5,  松山區 ,633,1102,427,427,89,103
110,5,  信義區 ,495,1126,223,223,102,110
110,5,  大安區 ,965,1856,423,423,139,180
110,5,  中山區 ,728,1442,380,380,110,131
110,5,  中正區 ,587,945,227,227,85,90
110,5,  大同區 ,461,681,204,204,59,88
110,5,  萬華區 ,329,913,276,276,84,148
110,5,  文山區 ,596,1141,547,547,140,149
110,5,  南港區 ,382,542,131,131,59,70
110,5,  內湖區 ,756,1259,637,637,157,121
110,5,  士林區 ,573,1170,377,377,147,169
110,5,  北投區 ,565,1002,524,524,119,124
110,6,  總計 ,6959,11392,4059,4059,1718,1899
110,6,  松山區 ,501,874,291,291,121,128
110,6,  信義區 ,540,882,199,199,144,163
110,6,  大安區 ,946,1906,421,421,190,222
110,6,  中山區 ,727,1141,343,343,165,155
110,6,  中正區 ,541,949,160,160,102,122
110,6,  大同區 ,444,546,220,220,71,102
110,6,  萬華區 ,361,690,233,233,127,225
110,6,  文山區 ,652,960,537,537,149,179
110,6,  南港區 ,316,471,164,164,78,94
110,6,  內湖區 ,701,989,606,606,198,142
110,6,  士林區 ,610,1004,406,406,182,217
110,6,  北投區 ,620,980,479,479,191,150
110,7,  總計 ,8369,15198,5113,5113,1223,1746
110,7,  松山區 ,564,1358,342,342,79,135
110,7,  信義區 ,682,1247,305,305,83,141
110,7,  大安區 ,999,2274,486,486,113,191
110,7,  中山區 ,796,1483,405,405,121,134
110,7,  中正區 ,655,1134,207,207,78,97
110,7,  大同區 ,495,675,264,264,54,107
110,7,  萬華區 ,633,1015,377,377,90,192
110,7,  文山區 ,794,1328,653,653,142,180
110,7,  南港區 ,424,669,173,173,67,69
110,7,  內湖區 ,923,1447,689,689,170,134
110,7,  士林區 ,738,1374,573,573,125,208
110,7,  北投區 ,666,1194,639,639,101,158
110,8,  總計 ,10386,19181,6663,6663,1319,1464
110,8,  松山區 ,815,1709,470,470,93,125
110,8,  信義區 ,816,1595,382,382,99,122
110,8,  大安區 ,1240,2690,694,694,130,168
110,8,  中山區 ,1069,1847,560,560,112,115
110,8,  中正區 ,772,1466,316,316,90,81
110,8,  大同區 ,633,1146,374,374,76,97
110,8,  萬華區 ,766,1273,476,476,80,174
110,8,  文山區 ,952,1769,822,822,131,144
110,8,  南港區 ,538,872,226,226,66,53
110,8,  內湖區 ,1136,1869,897,897,167,110
110,8,  士林區 ,843,1616,697,697,139,148
110,8,  北投區 ,806,1329,749,749,136,127
110,9,  總計 ,12497,21658,8784,8784,1438,1355
110,9,  松山區 ,1044,2033,704,704,100,99
110,9,  信義區 ,1001,1826,546,546,111,121
110,9,  大安區 ,1539,2951,940,940,144,165
110,9,  中山區 ,1244,2147,672,672,112,114
110,9,  中正區 ,1155,1760,566,566,86,83
110,9,  大同區 ,727,1166,470,470,86,85
110,9,  萬華區 ,818,1307,546,546,94,127
110,9,  文山區 ,1071,1817,1038,1038,167,124
110,9,  南港區 ,645,934,284,284,54,56
110,9,  內湖區 ,1271,2016,1090,1090,174,105
110,9,  士林區 ,994,1845,843,843,178,147
110,9,  北投區 ,988,1856,1085,1085,132,129
110,10,  總計 ,8509,14978,5504,5504,1407,1359
110,10,  松山區 ,856,1232,461,461,110,110
110,10,  信義區 ,591,1235,256,256,132,122
110,10,  大安區 ,1154,1921,403,403,161,144
110,10,  中山區 ,706,1603,497,497,127,107
110,10,  中正區 ,788,1348,299,299,84,83
110,10,  大同區 ,456,714,276,276,63,84
110,10,  萬華區 ,579,1104,379,379,103,141
110,10,  文山區 ,628,1276,626,626,125,128
110,10,  南港區 ,478,639,254,254,66,62
110,10,  內湖區 ,879,1281,643,643,155,119
110,10,  士林區 ,695,1296,447,447,152,151
110,10,  北投區 ,699,1329,963,963,129,108
110,11,  總計 ,9081,15676,5831,5831,1491,1536
110,11,  松山區 ,791,1342,427,427,115,94
110,11,  信義區 ,702,1261,359,359,117,144
110,11,  大安區 ,1160,1795,474,474,157,164
110,11,  中山區 ,925,1616,454,454,124,154
110,11,  中正區 ,837,1136,288,288,88,94
110,11,  大同區 ,453,865,338,338,74,75
110,11,  萬華區 ,543,1135,410,410,113,161
110,11,  文山區 ,879,1434,658,658,164,139
110,11,  南港區 ,420,688,211,211,72,66
110,11,  內湖區 ,853,1585,753,753,181,105
110,11,  士林區 ,768,1812,630,630,141,181
110,11,  北投區 ,750,1007,829,829,145,159
110,12,  總計 ,10314,17601,5912,5912,1575,1554
110,12,  松山區 ,994,1672,513,513,132,136
110,12,  信義區 ,823,1424,343,343,145,123
110,12,  大安區 ,1246,2076,582,582,166,159
110,12,  中山區 ,1107,2100,487,487,139,135
110,12,  中正區 ,893,1280,300,300,93,83
110,12,  大同區 ,528,802,282,282,79,88
110,12,  萬華區 ,650,1145,451,451,98,145
110,12,  文山區 ,894,1610,737,737,170,139
110,12,  南港區 ,489,873,225,225,78,71
110,12,  內湖區 ,969,1514,764,764,159,131
110,12,  士林區 ,867,1942,530,530,176,189
110,12,  北投區 ,854,1163,698,698,140,155
